year,gender,rank,name
1890,female,1,Anna
1890,female,2,Martha
1890,female,3,Frieda
1890,female,4,Bertha
1890,female,5,Emma
1890,female,6,Marie
1890,female,7,Maria
1890,female,8,Margarete
1890,female,9,Erna
1890,female,10,Elsa
1890,female,11,Luise
1890,female,12,Johanna
1890,female,13,Gertrud
1890,female,14,Elisabeth
1890,female,15,Minna
1890,female,16,Auguste
1890,female,17,Helene
1890,female,18,Ida
1890,female,19,Wilhelmine
1890,female,20,Clara
1890,female,21,Dorothea
1890,female,22,Hedwig
1890,female,23,Olga
1890,female,24,Agnes
1890,female,25,Else
1890,female,26,Meta
1890,female,27,Paula
1890,female,28,Carolin
1890,female,29,Elise
1890,female,30,Henni
1890,male,1,Karl
1890,male,2,Wilhelm
1890,male,3,Otto
1890,male,4,Heinrich
1890,male,5,Friedrich
1890,male,6,Paul
1890,male,7,Hans
1890,male,8,Gustav
1890,male,9,Max
1890,male,10,Ernst
1890,male,11,Hermann
1890,male,12,Johannes
1890,male,13,Adolf
1890,male,14,Fritz
1890,male,15,August
1890,male,16,Emil
1890,male,17,Walter
1890,male,18,Robert
1890,male,19,Franz
1890,male,20,Hugo
1890,male,21,Georg
1890,male,22,Ludwig
1890,male,23,Johann
1890,male,24,Willi
1890,male,25,Rudolf
1890,male,26,Oskar
1890,male,27,Alfred
1890,male,28,Richard
1890,male,29,Albert
1890,male,30,Arthur
1891,female,1,Frieda
1891,female,2,Anna
1891,female,3,Martha
1891,female,4,Erna
1891,female,5,Marie
1891,female,6,Maria
1891,female,7,Bertha
1891,female,8,Margarete
1891,female,9,Emma
1891,female,10,Elisabeth
1891,female,11,Elsa
1891,female,12,Hedwig
1891,female,13,Luise
1891,female,14,Minna
1891,female,15,Ella
1891,female,16,Helene
1891,female,17,Auguste
1891,female,18,Clara
1891,female,19,Johanna
1891,female,20,Alma
1891,female,21,Else
1891,female,22,Margareta
1891,female,23,Paula
1891,female,24,Carolin
1891,female,25,Emilie
1891,male,1,Hermann
1891,male,2,Wilhelm
1891,male,3,Karl
1891,male,4,Friedrich
1891,male,5,Heinrich
1891,male,6,Otto
1891,male,7,Paul
1891,male,8,Ernst
1891,male,9,Hans
1891,male,10,Franz
1891,male,11,Fritz
1891,male,12,August
1891,male,13,Willi
1891,male,14,Gustav
1891,male,15,Johannes
1891,male,16,Max
1891,male,17,Richard
1891,male,18,Walter
1891,male,19,Albert
1891,male,20,Robert
1891,male,21,Johann
1891,male,22,Georg
1891,male,23,Arthur
1891,male,24,Alfred
1891,male,25,Adolf
1892,female,1,Anna
1892,female,2,Frieda
1892,female,3,Martha
1892,female,4,Emma
1892,female,5,Maria
1892,female,6,Marie
1892,female,7,Bertha
1892,female,8,Elsa
1892,female,9,Margarete
1892,female,10,Erna
1892,female,11,Gertrud
1892,female,12,Helene
1892,female,13,Elisabeth
1892,female,14,Minna
1892,female,15,Johanna
1892,female,16,Else
1892,female,17,Ida
1892,female,18,Paula
1892,female,19,Wilhelmine
1892,female,20,Hedwig
1892,female,21,Luise
1892,female,22,Olga
1892,female,23,Dora
1892,female,24,Ella
1892,female,25,Auguste
1892,male,1,Karl
1892,male,2,Wilhelm
1892,male,3,Heinrich
1892,male,4,Hermann
1892,male,5,Friedrich
1892,male,6,Paul
1892,male,7,Hans
1892,male,8,August
1892,male,9,Ernst
1892,male,10,Otto
1892,male,11,Johannes
1892,male,12,Franz
1892,male,13,Walter
1892,male,14,Albert
1892,male,15,Emil
1892,male,16,Willi
1892,male,17,Erich
1892,male,18,Georg
1892,male,19,Gustav
1892,male,20,Johann
1892,male,21,Max
1892,male,22,Richard
1892,male,23,Adolf
1892,male,24,Kurt
1892,male,25,Fritz
1893,female,1,Anna
1893,female,2,Martha
1893,female,3,Frieda
1893,female,4,Emma
1893,female,5,Marie
1893,female,6,Erna
1893,female,7,Gertrud
1893,female,8,Margarete
1893,female,9,Elsa
1893,female,10,Elisabeth
1893,female,11,Bertha
1893,female,12,Maria
1893,female,13,Hedwig
1893,female,14,Ida
1893,female,15,Johanna
1893,female,16,Minna
1893,female,17,Helene
1893,female,18,Ella
1893,female,19,Luise
1893,female,20,Wilhelmine
1893,female,21,Dora
1893,female,22,Paula
1893,female,23,Auguste
1893,female,24,Alma
1893,female,25,Meta
1893,male,1,Karl
1893,male,2,Wilhelm
1893,male,3,Hans
1893,male,4,Friedrich
1893,male,5,Hermann
1893,male,6,Otto
1893,male,7,Heinrich
1893,male,8,Ernst
1893,male,9,Paul
1893,male,10,Walter
1893,male,11,Adolf
1893,male,12,Willi
1893,male,13,Franz
1893,male,14,Fritz
1893,male,15,Johann
1893,male,16,Rudolf
1893,male,17,Alfred
1893,male,18,August
1893,male,19,Georg
1893,male,20,Gustav
1893,male,21,Max
1893,male,22,Arthur
1893,male,23,Johannes
1893,male,24,Emil
1893,male,25,Josef
1894,female,1,Anna
1894,female,2,Frieda
1894,female,3,Martha
1894,female,4,Marie
1894,female,5,Erna
1894,female,6,Emma
1894,female,7,Elisabeth
1894,female,8,Gertrud
1894,female,9,Bertha
1894,female,10,Clara
1894,female,11,Margarete
1894,female,12,Elsa
1894,female,13,Maria
1894,female,14,Johanna
1894,female,15,Minna
1894,female,16,Helene
1894,female,17,Alma
1894,female,18,Dora
1894,female,19,Else
1894,female,20,Hedwig
1894,female,21,Paula
1894,female,22,Ella
1894,female,23,Katharina
1894,female,24,Luise
1894,female,25,Wilhelmine
1894,male,1,Karl
1894,male,2,Wilhelm
1894,male,3,Hans
1894,male,4,Heinrich
1894,male,5,Hermann
1894,male,6,Paul
1894,male,7,Otto
1894,male,8,Ernst
1894,male,9,Walter
1894,male,10,Max
1894,male,11,Friedrich
1894,male,12,Arthur
1894,male,13,Fritz
1894,male,14,Emil
1894,male,15,Franz
1894,male,16,Richard
1894,male,17,August
1894,male,18,Georg
1894,male,19,Gustav
1894,male,20,Johann
1894,male,21,Rudolf
1894,male,22,Willi
1894,male,23,Alfred
1894,male,24,Erich
1894,male,25,Peter
1895,female,1,Anna
1895,female,2,Frieda
1895,female,3,Martha
1895,female,4,Erna
1895,female,5,Emma
1895,female,6,Gertrud
1895,female,7,Marie
1895,female,8,Elisabeth
1895,female,9,Helene
1895,female,10,Hedwig
1895,female,11,Maria
1895,female,12,Bertha
1895,female,13,Elsa
1895,female,14,Margarete
1895,female,15,Else
1895,female,16,Johanna
1895,female,17,Luise
1895,female,18,Minna
1895,female,19,Clara
1895,female,20,Ella
1895,female,21,Auguste
1895,female,22,Ida
1895,female,23,Alma
1895,female,24,Olga
1895,female,25,Wilhelmine
1895,male,1,Karl
1895,male,2,Heinrich
1895,male,3,Wilhelm
1895,male,4,Hans
1895,male,5,Otto
1895,male,6,Paul
1895,male,7,Hermann
1895,male,8,Walter
1895,male,9,Willi
1895,male,10,Friedrich
1895,male,11,August
1895,male,12,Alfred
1895,male,13,Gustav
1895,male,14,Johannes
1895,male,15,Josef
1895,male,16,Rudolf
1895,male,17,Emil
1895,male,18,Albert
1895,male,19,Kurt
1895,male,20,Max
1895,male,21,Ernst
1895,male,22,Franz
1895,male,23,Johann
1895,male,24,Adolf
1895,male,25,Fritz
1896,female,1,Anna
1896,female,2,Martha
1896,female,3,Frieda
1896,female,4,Gertrud
1896,female,5,Erna
1896,female,6,Marie
